min_silence_len_range,silence_thresh_range,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
111,-37,0,0,0,0,0,0,0,4,11,262,19,4,0,0,0,0,0,0,0,0
111,-36,0,0,0,0,0,0,0,4,6,284,6,0,0,0,0,0,0,0,0,0
111,-35,0,0,0,0,0,0,0,0,12,282,6,0,0,0,0,0,0,0,0,0
111,-34,0,0,0,0,0,0,0,2,19,261,18,0,0,0,0,0,0,0,0,0
111,-33,0,0,0,0,0,0,0,7,38,243,12,0,0,0,0,0,0,0,0,0
111,-32,0,0,0,0,0,0,2,21,52,215,10,0,0,0,0,0,0,0,0,0
111,-31,0,0,0,0,0,0,8,27,88,175,2,0,0,0,0,0,0,0,0,0
111,-30,0,0,0,0,0,2,14,37,94,150,3,0,0,0,0,0,0,0,0,0
112,-40,0,0,0,0,0,2,12,33,120,107,22,4,0,0,0,0,0,0,0,0
112,-39,0,0,0,0,0,0,1,8,70,189,26,4,2,0,0,0,0,0,0,0
112,-38,0,0,0,0,0,0,0,2,34,225,32,4,3,0,0,0,0,0,0,0
112,-37,0,0,0,0,0,0,0,4,11,262,19,4,0,0,0,0,0,0,0,0
112,-36,0,0,0,0,0,0,0,4,5,284,7,0,0,0,0,0,0,0,0,0
112,-35,0,0,0,0,0,0,0,0,12,282,6,0,0,0,0,0,0,0,0,0
112,-34,0,0,0,0,0,0,0,2,20,260,18,0,0,0,0,0,0,0,0,0
112,-33,0,0,0,0,0,0,0,7,38,243,12,0,0,0,0,0,0,0,0,0
112,-32,0,0,0,0,0,0,2,21,52,215,10,0,0,0,0,0,0,0,0,0
112,-31,0,0,0,0,0,0,8,27,90,173,2,0,0,0,0,0,0,0,0,0
112,-30,0,0,0,0,0,2,14,37,94,150,3,0,0,0,0,0,0,0,0,0
113,-40,0,0,0,0,0,2,12,35,121,104,23,3,0,0,0,0,0,0,0,0
113,-39,0,0,0,0,0,0,1,10,66,184,33,3,3,0,0,0,0,0,0,0
113,-38,0,0,0,0,0,0,0,2,34,225,32,4,3,0,0,0,0,0,0,0
113,-37,0,0,0,0,0,0,0,4,11,263,18,4,0,0,0,0,0,0,0,0
113,-36,0,0,0,0,0,0,0,4,5,281,10,0,0,0,0,0,0,0,0,0
113,-35,0,0,0,0,0,0,0,0,13,281,6,0,0,0,0,0,0,0,0,0
113,-34,0,0,0,0,0,0,0,6,20,262,12,0,0,0,0,0,0,0,0,0
113,-33,0,0,0,0,0,0,0,7,38,243,12,0,0,0,0,0,0,0,0,0
113,-32,0,0,0,0,0,0,2,22,62,204,10,0,0,0,0,0,0,0,0,0
113,-31,0,0,0,0,0,0,8,27,90,173,2,0,0,0,0,0,0,0,0,0
113,-30,0,0,0,0,0,3,13,37,92,152,3,0,0,0,0,0,0,0,0,0
114,-40,0,0,0,0,0,3,10,40,119,103,22,3,0,0,0,0,0,0,0,0
